Case Name,Page Number,Fatalities,Fatality Rate,DV(ft2/s),Warning,Dam Height (ft),Dam Failure?,Types of Dams,Total PAR,DD to PAR (miles),Floodplain,Reservoir Storage (af),Scenario,Day or Night,Start Date,End Date,Flood Severity,,Breach Tf,Flood Severity Understanding,Maximum DV high (ft2/s),Maximum DV low ft2s,DV notes,Confidence,Confidence Notes,DSO-99-06 case?,RCEM data point?
Liujaitai Dam - Linxi and Taiping Villages and Tuonan Town,80,352,0.10368,169.5,Partial warning,117.45264,yes,earth,3395,6.8,Wide,32866,hydrologic,night,8/8/1963,8/8/1963,medium to high,,fast,vague,248,91,DV estimate discharge (obtained from gaging station) divided by flood width,fair,"more details, including photos and a detailed map would help to increase confidence",N,Y
Liujaitai Dam > 9.3 miles downstream,80,60,0.00503,30,no warning,117,yes,earth,11929,10,Narrow,32866,hydrologic,night,8/8/1963,8/8/1963,low,,fast,vague,50,,Dv not given,fair,warning actually descreased as distance increased from the dam!,N,Y
Macchu II Dam,68,"20,000 to 25,000",0.6,100,no warning,85,yes,earth,425000,4,Wide,81900,hydrologic,day,8/11/1979,8/11/1979,medium,,moderate,na,150,50,,good,total fatality and PAR numbers have only fair confidence level,N,Y
Malpasset - Lower Reyran River,21,69,0.21,129,no warning,200,yes,concrete,330,4.05,Wide,18000,hydrologic,night,12/2/1959,12/2/1959,high/medium,,very fast,na,215,43,DV is based on BC Hydro 2D analysis,good,,N,Y
Malpasset Dam - Argens River to the sea,21,27,0.01084,27,Partial warning,200,yes,concrete,2490,6,Wide,18000,hydrologic,night,12/2/1959,12/2/1959,low,,very fast,unknown,43,11,DV is based on BC Hydro 2D analysis,good,,N,Y
Malpasset Dam - Frejus,21,227,0.3632,129,no warning,200,yes,concrete,625,6,Wide,18000,hydrologic,night,12/2/1959,12/2/1959,high/medium,,very fast,na,215,43,"BCH 2D modeling, Upper Frejus was high severity, but much of the town was medium",good,"BC Hydro research estimates where PAR was located and hydraulic model estimates DV at d/s locations, total PAR   
3668. total fatalities 423 to 550",Y,Y
Malpasset Dam - Upper Reyran River,21,155,0.7,645.5,no warning,200,yes,concrete,220,1.1,Narrow,18000,hydrologic,night,12/2/1959,12/2/1959,high,,very fast,na,1076,215,DV is based on BC Hydro 2D analysis,good,"BC Hydro research estimates where PAR was located and hydraulic model estimates DV at d/s locations, total PAR   
3668. total fatalities 423 to 550,",Y,Y
Manitou Springs Flash Flood (Highway 24),89,1,0.02,50,no warning,na,no,,50,0.25,Narrow,na,others,day,8/9/2013,8/9/2013,medium,,na,na,50,,"Maximum DV estimated from reports of 5 foot flood depths and from video footage of floating cars (at least 10  
ft/s)",good,"Case is well documented with photos, video, newspaper articles and interviews with witnesses",N,Y
Meadow Pond (Bergeron Pond) Dam,124,1,0.03125,7,no warning,32,yes,earth,32,1,Wide,282,static,night,3/13/1996,3/13/1996,low,,moderately fast,na,7,,Dv estimatedd by McClelland and Bowles - was likely higher at road crossing where fatality occurred.,good,event has been well documented,N,Y
Mill River Dam,42,138,0.184,105,no warning,43,yes,earth,750,6.5,Narrow,307,static,day,5/16/1874,5/16/1874,medium,,fast,unknown,160,50,264 ft/s assuming 20 foot depth at Williamsburg and 20 minute travel time. This anecdotal information produces a very high dv. 50 to 160 ft2/s may be more realistic.,good,"Some documentation exists, but event occurred long ago.",Y,Y
Mohegan Park (Spaulding Pond) Dam,96,7,0.007,45,no warning,20,yes,earth,1000,1,Wide,138,hydrologic,night,3/6/63,3/6/63,low,,unknown,unknown,80,10,,good,data is limited,Y,Y
Nevado del Ruis Lahar,15,22000,0.85,950,no warning,na,no,,26000,30,Wide,na,others,night,11/13/1985,11/13/1985,high,,na,na,950,,,good,,Y,Y
Passaic River Basin Flood,117,2,0.00008,,adequate warning,na,no,,25000,na,Wide,na,others,varied,4/1/1984,4/1/1984,low,,na,precise,,,,fair,,Y,N
Phoenix Area Flood,111,0,0,30,adequate warning,na,no,,6000,na,Wide,na,others,varied ,2/15/1980,2/15/1980,low,,na,precise,50,10,,fair,,Y,Y
Prospect Dam,113,0,0,4,adequate warning,45,yes,earth,100,na,,5850,static,day,2/10/1980,2/10/1980,low,,fast,precise,4,,,good,,Y,Y
Quail Creek Dike  (close to the dam),98,0,0,1098,adequate warning,28,yes,earth,1500,16,Wide,40000,static,night,1/1/1989,1/1/1989,low,,moderately fast,precise,29,,DV was much higher at unpopulated location close to dam,good,,Y,Y
Quail Creek Dike,98,0,0,29,adequate warning,28,yes,earth,1500,16,Wide,40000,static,night,1/1/1989,1/1/1989,low,,moderately fast,precise,29,,DV was much higher at unpopulated location close to dam,good,,Y,Y
"Reservoir No.1 Dam, S. Davis Co. Water Imp. Dist.",91,0,0.00001,25,no warning,15,yes,earth,80,0.02,Wide,4.4,static,night,9/24/1961,9/24/1961,low,,unknown,na,25,10,,fair,,Y,Y
Seminary Hill Reservoir No. 3,93,0,0.00001,80,no warning,17,yes,earth,150,0.25,Narrow,10.7,static,day,10/5/1991,10/5/1991,low,,unknown,na,80,10,,good,,Y,Y
"Shadyside, Ohio Flash Flood",60,24,0.02715,75,no warning,na,no,,884,na,Narrow,na,others,night,6/14/1990,6/14/1990,medium,,na,vague,100,50,"DV is estimated to be 50 to 100 ft2/s or greater ,based on steep channel and 20-ft depths. Photos show  
sinificant buildin destruction which suorts the hih DV",good,,Y,Y
Shijiagou Dam - Shijiagou Village,79,81,0.27,68,Partial warning,98.4,yes,earth,300,0.5,Narrow,689,hydrologic,day,8/25/1973,8/25/1973,medium,,unknown,vague,68,,"Zhou perform FLDWAV modeling in 2006, DV appears to have been estimated from model discharge data  
divided by flood plain width",fair,"Adobe residential structures, which were weak, may have contributed to the high fatalities, A beeter description, photos and a detailed location map might improve confidence in data",N,Y
"Situ Gintung Dam, Jakarta Indonesia",84,98,0.06125,81,no warning,52.5,yes,earth,1600,0.5,Wide,1630,hydrologic,night,3/27/2009,3/27/2009,medium,,unknown,unknown,108,54,"depths were reported, velocity range was guesstimated",good,event has been well doucmented,N,Y
South fork Dam - East Conemaugh,49,11,0.0055,210,adequate warning,72,yes,earth,2000,11.5,Wide,11500,hydrologic,day,5/31/1889,5/31/1889,high,,fast,precise,210,,,good,"a lot of data is available for this event, but it happened long ago",Y,Y
South Fork Dam - Johnstown,49,1756,0.08866,135,no warning,72,yes,earth,19806,14,Wide,11500,hydrologic,day,5/31/1889,5/31/1889,high,,fast,na,135,,,good,"a lot of data is available for this event, but it happened long ago",Y,Y
South Fork Dam - Mineral Point,49,7,0.035,360,adequate warning,72,yes,earth,200,6.3,Narrow,11500,hydrologic,day,5/31/1889,5/31/1889,high,,fast,precise,360,,,good,"a lot of data is available for this event, but it happened long ago",Y,Y
South Fork Dam - Town of South Fork,49,2,0.01,250,adequate warning,72,yes,earth,200,2,Wide,11500,hydrologic,day,5/31/1889,5/31/1889,high,,fast,precise,250,,,good,"a lot of data is available for this event, but it happened long ago",Y,Y
South Fork Dam - Woodvale,49,314,0.2518,180,no warning,72,yes,earth,1247,12.5,Narrow,11500,hydrologic,day,5/31/1889,5/31/1889,high,,fast,na,180,,,good,"a lot of data is available for this event, but it happened long ago",Y,Y
South Platte River Flood,115,1,0.0001,25,adequate warning,na,no,,10000,na,Wide,na,flash flood,varied,6/16/1965,6/16/1965,low,,na,precise,40,10,,fair,,Y,Y
St Francis Dam - Edison Camp,13,84,0.56,699,no warning,184,yes,concrete,150,18.6,Narrow,38000,hydrologic,night,3/13/1928,3/13/1928,high,,very fast,na,1238,130,based on MIKE21 hydraulic model,very good,total flood event fatalities range from 420 to more than 600,Y,Y
St Francis Dam - Fillmore,13,unknown,,160,Partial warning,184,yes,concrete,unknown,31.7,,38000,hydrologic,night,3/13/1928,3/13/1928,medium,,very fast,vague,160,50,,good,total flood event fatalities range from 420 to more than 600,N,Y
St Francis Dam - Oxnard Plain,13,unknown,,50,adequate warning,184,yes,concrete,unknown,51.5,,38000,hydrologic,night,3/13/1928,3/13/1928,low,,very fast,vague,50,10,,fair,total flood event fatalities range from 420 to more than 600,N,N
St Francis Dam - Powerhouse No. 2,13,"exact number  
unknown",0.9,2960,no warning,184,yes,concrete,,1.4,Narrow,38000,hydrologic,night,3/13/1928,3/13/1928,high,,very fast,na,2960,-,based on forensic data,very good,total flood event fatalities range from 420 to more than 600,Y,Y
St Francis Dam - Santa Paula,13,unknown,,160,adequate warning,184,yes,,unknown,40.1,,38000,hydrologic,night,3/13/1928,3/13/1928,medium,,very fast,vague,160,50,,good,total flood event fatalities range from 420 to more than 600,N,Y
Stava Tailings Dam,17,268,,3250,no warning,164.4,yes,,unknown,0.5,,146,others,day,7/19/1985,7/19/1985,high,,fast,na,3250,2500,,good,"Travel times based on seismogram readings, depths are anecdotal",Y,N
Taum Sauk Upper Dam,25,0,0.00001,180,no warning,94,yes,concrete,unknown,0.25,Narrow,4300,hydrologic,night,12/14/2005,12/14/2005,high,,fast,na,180,80,"DV is guesstimated based on photos of the flood zone wher ethe area appears to have been swept clean, park ranger's wood frame house was destroyed, so low dv was at least 80 ft2/s",good,,N,Y
Teton Dam - Rexburg,56,2,0.0002,63,adequate warning,305,yes,earth,unknown,15.3,Wide,240000,static,day,6/5/1976,6/5/1976,medium,,moderately fast,,63,,,good,,Y,Y
Teton Dam - Roberts,56,0,0,34,adequate warning,305,yes,earth,unknown,43.1,Wide,240000,static,day,6/5/1976,6/5/1976,low,,moderately fast,unknown,34,,,good,,N,Y
Teton Dam - Sugar City,56,0,0,180,adequate warning,305,yes,earth,11360,12.3,Wide,240000,static,day,6/5/1976,6/5/1976,medium,,moderately fast,precise,180,,,good,,N,Y
Teton Dam - Teton Canyon,56,1,0.5,1375,no warning,305,yes,earth,2,2.5,Narrow,240000,static,day,6/5/1976,6/5/1976,high,,moderately fast,na,1650,1100,rate of rise meets high severity criteria,good,,N,Y
Teton Dam - Wilford,56,8,0.021,180,Partial warning,305,yes,earth,370,8.4,Wide,240000,static,day,6/5/1976,6/5/1976,medium,,moderately fast,precise,180,,,good,,Y,Y
Texas Hill Country Flood,106,27,0.01304,45,Partial warning,na,no,,2070,na,Wide,na,others,night,8/1 - 8/3/1978,8/1 - 8/3/1978,medium/low,,na,vague,80,10,houses were destroyed. May have been medium severity in places.,fair to good,event is well documented but DV related info not reported,Y,Y
Texas Hill Country Flood,106,27,0.01304,45,adequate warning,na,no,,2070,na,Wide,na,others,night,8/1 - 8/3/1978,8/1 - 8/3/1978,medium/low,,na,vague,80,10,houses were destroyed. May have been medium severity in places.,fair to good,event is well documented but DV related info not reported,Y,Y
Timberlake Dam,85,2,0.28571,61,no warning,33,yes,earth,7,1,Wide,1449,hydrologic,night,6/22/1995,6/22/1995,medium,,unknown,na,61,,Dv estimatedd by McClelland and Bowles - was likely higher at road crossing where fatality occurred.,fair to good,PAR estimated by McClelland and Bowles,N,Y
Vajont Dam,19,1269,0.94,5060,no warning,869,no,concrete,1350,1,Narrow,na,others,night,10/9/1963,10/9/1963,high,,very fast,na,5060,,"High DV is based on flood wave traveling 1 mile in 4 minutes, with a reported max depth of 230 feet.",good,"Total fatalities has been estimated at 2,600. The PAR and fatality info in table is for the town of Longerone where  
flooding was most severe.",Y,Y
Vega de Tera,11,144,0.288,300,no warning,112,yes,concrete,500,5,Narrow,6500,hydrologic,night,1/9/1959,1/9/1959,high,,very fast,na,400,200,"Dv estimate based on reported 20 ft depth and velocities assumed to range from 10 to 20 ft/s (St Francis Dam  
velocity at power house No.2 was 26 ft/s, so these numbers may be reasonable..)",good,,Y,Y
Walnut Grove Dam,23,70 to 100,,880,no warning,110,yes,,unknown,22.5,,60000,hydrologic,night,2/21/1890,2/21/1890,high,,unknown,na,880,,DV estimate is at Wickenburg. Dv at upstream construction camp may have been even higher," good but need  
more info",,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
